ID Group,Group,ID Year,Year,Commute Means,Commute Means Moe,Geography,ID Geography,Slug Geography,share
0,"Drove Alone",2022,"2022",886576,8310,"New York, NY","16000US3651000","new-york-ny",0.2221015291500491
1,"Carpooled",2022,"2022",173108,4222.961283270308,"New York, NY","16000US3651000","new-york-ny",0.04336633464937772
2,"Public Transit",2022,"2022",1888814,11058.285536194118,"New York, NY","16000US3651000","new-york-ny",0.47317824718920976
3,"Taxi",2022,"2022",47275,1911.9999999999998,"New York, NY","16000US3651000","new-york-ny",0.01184314688257811
4,"Motorcycle",2022,"2022",3107,563,"New York, NY","16000US3651000","new-york-ny",0.0007783534080205223
5,"Bicycle",2022,"2022",58514,2142,"New York, NY","16000US3651000","new-york-ny",0.014658696915646231
6,"Walked",2022,"2022",373239,5487,"New York, NY","16000US3651000","new-york-ny",0.09350236487163557
7,"Other",2022,"2022",40332,1726.9999999999998,"New York, NY","16000US3651000","new-york-ny",0.01010381385654448
8,"Worked At Home",2022,"2022",520795,7988,"New York, NY","16000US3651000","new-york-ny",0.1304675130769385
0,"Drove Alone",2021,"2021",905767,7692.999999999999,"New York, NY","16000US3651000","new-york-ny",0.22398353075001853
1,"Carpooled",2021,"2021",176880,4217.445909552367,"New York, NY","16000US3651000","new-york-ny",0.04373995400479735
2,"Public Transit",2021,"2021",2007988,12130.191795680728,"New York, NY","16000US3651000","new-york-ny",0.49654739236875295
3,"Taxi",2021,"2021",45240,1981,"New York, NY","16000US3651000","new-york-ny",0.01118722025767205
4,"Motorcycle",2021,"2021",3312,537,"New York, NY","16000US3651000","new-york-ny",0.0008190113504290413
5,"Bicycle",2021,"2021",54919,2053,"New York, NY","16000US3651000","new-york-ny",0.01358070179776948
6,"Walked",2021,"2021",384380,6487,"New York, NY","16000US3651000","new-york-ny",0.09505180642449121
7,"Other",2021,"2021",34570,1924,"New York, NY","16000US3651000","new-york-ny",0.008548678256138876
8,"Worked At Home",2021,"2021",430844,7395,"New York, NY","16000US3651000","new-york-ny",0.10654170478993051
0,"Drove Alone",2020,"2020",875528,7940,"New York, NY","16000US3651000","new-york-ny",0.22310919412376443
1,"Carpooled",2020,"2020",175007,3513.5353989962873,"New York, NY","16000US3651000","new-york-ny",0.044596712767630095
2,"Public Transit",2020,"2020",2072840,12718.987656256295,"New York, NY","16000US3651000","new-york-ny",0.5282180146694382
3,"Taxi",2020,"2020",43170,1885,"New York, NY","16000US3651000","new-york-ny",0.0110009319066014
4,"Motorcycle",2020,"2020",3221,590,"New York, NY","16000US3651000","new-york-ny",0.000820801521222217
5,"Bicycle",2020,"2020",51648,2047,"New York, NY","16000US3651000","new-york-ny",0.013161365094096574
6,"Walked",2020,"2020",383653,5732,"New York, NY","16000US3651000","new-york-ny",0.09776559019604696
7,"Other",2020,"2020",28728,1934,"New York, NY","16000US3651000","new-york-ny",0.007320703539792564
8,"Worked At Home",2020,"2020",290418,5250,"New York, NY","16000US3651000","new-york-ny",0.07400668618140759
0,"Drove Alone",2019,"2019",885803,6019,"New York, NY","16000US3651000","new-york-ny",0.22253013240724132
1,"Carpooled",2019,"2019",177370,3907.893550239054,"New York, NY","16000US3651000","new-york-ny",0.04455863164278332
2,"Public Transit",2019,"2019",2229452,10635.026798273711,"New York, NY","16000US3651000","new-york-ny",0.5600796664219798
3,"Taxi",2019,"2019",42154,2192,"New York, NY","16000US3651000","new-york-ny",0.010589866145739911
4,"Motorcycle",2019,"2019",3235,425.00000000000006,"New York, NY","16000US3651000","new-york-ny",0.0008126919623634439
5,"Bicycle",2019,"2019",50272,1809,"New York, NY","16000US3651000","new-york-ny",0.012629258216981468
6,"Walked",2019,"2019",397335,5236,"New York, NY","16000US3651000","new-york-ny",0.09981791680546491
7,"Other",2019,"2019",23281,1342,"New York, NY","16000US3651000","new-york-ny",0.0058486187251262246
8,"Worked At Home",2019,"2019",171696,3639,"New York, NY","16000US3651000","new-york-ny",0.04313321767231958
0,"Drove Alone",2018,"2018",883066,6519,"New York, NY","16000US3651000","new-york-ny",0.22336128808366798
1,"Carpooled",2018,"2018",177245,3528.7615391238887,"New York, NY","16000US3651000","new-york-ny",0.044832064088516296
2,"Public Transit",2018,"2018",2223087,11134.041359721994,"New York, NY","16000US3651000","new-york-ny",0.5623040359860499
3,"Taxi",2018,"2018",39665,1810,"New York, NY","16000US3651000","new-york-ny",0.010032801049795474
