ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2022,"2022",2,"Black",92443,85876,"Census Tract 2, Bronx County, NY","14000US36005000200"
2022,"2022",2,"Black",103158,6525,"Census Tract 4, Bronx County, NY","14000US36005000400"
2022,"2022",2,"Black",42264,22846,"Census Tract 16, Bronx County, NY","14000US36005001600"
2022,"2022",2,"Black",19243,5661,"Census Tract 23, Bronx County, NY","14000US36005002300"
2022,"2022",2,"Black",31630,17889,"Census Tract 25, Bronx County, NY","14000US36005002500"
2022,"2022",2,"Black",14980,4356,"Census Tract 27.01, Bronx County, NY","14000US36005002701"
2022,"2022",2,"Black",64442,18809,"Census Tract 28, Bronx County, NY","14000US36005002800"
2022,"2022",2,"Black",46447,21340,"Census Tract 31, Bronx County, NY","14000US36005003100"
2022,"2022",2,"Black",15565,10291,"Census Tract 33, Bronx County, NY","14000US36005003300"
2022,"2022",2,"Black",34672,32282,"Census Tract 35, Bronx County, NY","14000US36005003500"
2022,"2022",2,"Black",40385,23050,"Census Tract 38, Bronx County, NY","14000US36005003800"
2022,"2022",2,"Black",97396,64263.00000000001,"Census Tract 40.01, Bronx County, NY","14000US36005004001"
2022,"2022",2,"Black",35282,23712,"Census Tract 41, Bronx County, NY","14000US36005004100"
2022,"2022",2,"Black",50737,33775,"Census Tract 42, Bronx County, NY","14000US36005004200"
2022,"2022",2,"Black",74222,39215,"Census Tract 48, Bronx County, NY","14000US36005004800"
2022,"2022",2,"Black",29063,10295,"Census Tract 50.01, Bronx County, NY","14000US36005005001"
2022,"2022",2,"Black",66121,33512,"Census Tract 50.02, Bronx County, NY","14000US36005005002"
2022,"2022",2,"Black",23233,6727,"Census Tract 51, Bronx County, NY","14000US36005005100"
2022,"2022",2,"Black",44688,28412,"Census Tract 52, Bronx County, NY","14000US36005005200"
2022,"2022",2,"Black",20947,2066,"Census Tract 53, Bronx County, NY","14000US36005005300"
2022,"2022",2,"Black",42188,9409,"Census Tract 54, Bronx County, NY","14000US36005005400"
2022,"2022",2,"Black",60588,15145,"Census Tract 56, Bronx County, NY","14000US36005005600"
2022,"2022",2,"Black",58603,28527.000000000004,"Census Tract 59.02, Bronx County, NY","14000US36005005902"
2022,"2022",2,"Black",39722,8513,"Census Tract 60, Bronx County, NY","14000US36005006000"
2022,"2022",2,"Black",66939,22289,"Census Tract 61, Bronx County, NY","14000US36005006100"
2022,"2022",2,"Black",40359,14340,"Census Tract 62, Bronx County, NY","14000US36005006200"
2022,"2022",2,"Black",36319,32723.000000000004,"Census Tract 64, Bronx County, NY","14000US36005006400"
2022,"2022",2,"Black",24441,11533,"Census Tract 65, Bronx County, NY","14000US36005006500"
2022,"2022",2,"Black",14697,5206,"Census Tract 67, Bronx County, NY","14000US36005006700"
2022,"2022",2,"Black",30472,7181,"Census Tract 68, Bronx County, NY","14000US36005006800"
2022,"2022",2,"Black",58864,15254,"Census Tract 70, Bronx County, NY","14000US36005007000"
2022,"2022",2,"Black",35855,23318,"Census Tract 71, Bronx County, NY","14000US36005007100"
2022,"2022",2,"Black",33274,9527,"Census Tract 73, Bronx County, NY","14000US36005007300"
2022,"2022",2,"Black",42676,12368,"Census Tract 74, Bronx County, NY","14000US36005007400"
2022,"2022",2,"Black",33642,2972,"Census Tract 75, Bronx County, NY","14000US36005007500"
2022,"2022",2,"Black",71619,21374,"Census Tract 76, Bronx County, NY","14000US36005007600"
2022,"2022",2,"Black",47740,8026.999999999999,"Census Tract 77, Bronx County, NY","14000US36005007700"
2022,"2022",2,"Black",120417,111425.99999999999,"Census Tract 78, Bronx County, NY","14000US36005007800"
2022,"2022",2,"Black",77422,25684,"Census Tract 84, Bronx County, NY","14000US36005008400"
2022,"2022",2,"Black",39615,13198,"Census Tract 85, Bronx County, NY","14000US36005008500"
2022,"2022",2,"Black",25000,11463,"Census Tract 87, Bronx County, NY","14000US36005008700"
2022,"2022",2,"Black",44219,12706,"Census Tract 89, Bronx County, NY","14000US36005008900"
2022,"2022",2,"Black",50379,14255,"Census Tract 90, Bronx County, NY","14000US36005009000"
2022,"2022",2,"Black",63750,58998,"Census Tract 92, Bronx County, NY","14000US36005009200"
2022,"2022",2,"Black",41146,28871,"Census Tract 96, Bronx County, NY","14000US36005009600"
2022,"2022",2,"Black",51648,21124,"Census Tract 98, Bronx County, NY","14000US36005009800"
2022,"2022",2,"Black",24787,12155,"Census Tract 115.02, Bronx County, NY","14000US36005011502"
2022,"2022",2,"Black",81058,43369,"Census Tract 121.01, Bronx County, NY","14000US36005012101"
2022,"2022",2,"Black",81518,76348,"Census Tract 121.02, Bronx County, NY","14000US36005012102"
2022,"2022",2,"Black",46563,13478,"Census Tract 123, Bronx County, NY","14000US36005012300"
2022,"2022",2,"Black",80441,50117,"Census Tract 125, Bronx County, NY","14000US36005012500"
2022,"2022",2,"Black",69297,16222.999999999998,"Census Tract 127.01, Bronx County, NY","14000US36005012701"
2022,"2022",2,"Black",32128,14642.000000000002,"Census Tract 129.01, Bronx County, NY","14000US36005012901"
2022,"2022",2,"Black",16221,12242,"Census Tract 131, Bronx County, NY","14000US36005013100"
2022,"2022",2,"Black",191154,71227,"Census Tract 132, Bronx County, NY","14000US36005013200"
2022,"2022",2,"Black",50483,22665,"Census Tract 133, Bronx County, NY","14000US36005013300"
2022,"2022",2,"Black",24982,15305.999999999998,"Census Tract 135, Bronx County, NY","14000US36005013500"
2022,"2022",2,"Black",39279,7814.999999999999,"Census Tract 141, Bronx County, NY","14000US36005014100"
2022,"2022",2,"Black",13556,3138,"Census Tract 143, Bronx County, NY","14000US36005014300"
2022,"2022",2,"Black",37063,27321.000000000004,"Census Tract 144, Bronx County, NY","14000US36005014400"
2022,"2022",2,"Black",40227,11947,"Census Tract 145, Bronx County, NY","14000US36005014500"
2022,"2022",2,"Black",33678,27249,"Census Tract 147.01, Bronx County, NY","14000US36005014701"
2022,"2022",2,"Black",22591,9502,"Census Tract 147.02, Bronx County, NY","14000US36005014702"
2022,"2022",2,"Black",43550,17090,"Census Tract 149, Bronx County, NY","14000US36005014900"
2022,"2022",2,"Black",29504,21480,"Census Tract 151, Bronx County, NY","14000US36005015100"
2022,"2022",2,"Black",81167,51049,"Census Tract 152, Bronx County, NY","14000US36005015200"
2022,"2022",2,"Black",50536,40539,"Census Tract 153, Bronx County, NY","14000US36005015300"
2022,"2022",2,"Black",57868,39489,"Census Tract 155, Bronx County, NY","14000US36005015500"
2022,"2022",2,"Black",39375,19425,"Census Tract 157, Bronx County, NY","14000US36005015700"
2022,"2022",2,"Black",59917,16140,"Census Tract 158, Bronx County, NY","14000US36005015800"
2022,"2022",2,"Black",14073,2144,"Census Tract 159, Bronx County, NY","14000US36005015900"
2022,"2022",2,"Black",33029,17609,"Census Tract 161, Bronx County, NY","14000US36005016100"
2022,"2022",2,"Black",193304,82839,"Census Tract 162, Bronx County, NY","14000US36005016200"
2022,"2022",2,"Black",39688,16994,"Census Tract 165, Bronx County, NY","14000US36005016500"
2022,"2022",2,"Black",177656,45280,"Census Tract 166, Bronx County, NY","14000US36005016600"
2022,"2022",2,"Black",38542,10966,"Census Tract 167, Bronx County, NY","14000US36005016700"
2022,"2022",2,"Black",36750,25726,"Census Tract 169, Bronx County, NY","14000US36005016900"
2022,"2022",2,"Black",44438,43880,"Census Tract 173, Bronx County, NY","14000US36005017300"
2022,"2022",2,"Black",25864,14313.000000000002,"Census Tract 175, Bronx County, NY","14000US36005017500"
2022,"2022",2,"Black",35402,24408,"Census Tract 177.01, Bronx County, NY","14000US36005017701"
2022,"2022",2,"Black",58484,25406,"Census Tract 177.02, Bronx County, NY","14000US36005017702"
2022,"2022",2,"Black",45833,19455,"Census Tract 179.01, Bronx County, NY","14000US36005017901"
2022,"2022",2,"Black",39913,35947,"Census Tract 179.02, Bronx County, NY","14000US36005017902"
2022,"2022",2,"Black",62009,26580,"Census Tract 181.02, Bronx County, NY","14000US36005018102"
2022,"2022",2,"Black",42734,16549,"Census Tract 183.01, Bronx County, NY","14000US36005018301"
2022,"2022",2,"Black",73352,27150,"Census Tract 183.02, Bronx County, NY","14000US36005018302"
2022,"2022",2,"Black",30436,18754,"Census Tract 189, Bronx County, NY","14000US36005018900"
2022,"2022",2,"Black",65249,30874,"Census Tract 193, Bronx County, NY","14000US36005019300"
2022,"2022",2,"Black",41170,12769,"Census Tract 195, Bronx County, NY","14000US36005019500"
2022,"2022",2,"Black",51141,22002,"Census Tract 199, Bronx County, NY","14000US36005019900"
2022,"2022",2,"Black",25500,19127,"Census Tract 200, Bronx County, NY","14000US36005020000"
2022,"2022",2,"Black",33818,6712,"Census Tract 201, Bronx County, NY","14000US36005020100"
2022,"2022",2,"Black",54875,14913,"Census Tract 202, Bronx County, NY","14000US36005020200"
2022,"2022",2,"Black",16841,14251,"Census Tract 205.01, Bronx County, NY","14000US36005020501"
2022,"2022",2,"Black",50980,40578,"Census Tract 205.02, Bronx County, NY","14000US36005020502"
2022,"2022",2,"Black",16333,3980.9999999999995,"Census Tract 206.01, Bronx County, NY","14000US36005020601"
2022,"2022",2,"Black",45768,36077,"Census Tract 209, Bronx County, NY","14000US36005020900"
2022,"2022",2,"Black",37656,14069.000000000002,"Census Tract 210.01, Bronx County, NY","14000US36005021001"
2022,"2022",2,"Black",71820,16695,"Census Tract 210.02, Bronx County, NY","14000US36005021002"
2022,"2022",2,"Black",33588,5668,"Census Tract 211, Bronx County, NY","14000US36005021100"
2022,"2022",2,"Black",68750,18422,"Census Tract 212, Bronx County, NY","14000US36005021200"
2022,"2022",2,"Black",63611,39913,"Census Tract 213.01, Bronx County, NY","14000US36005021301"
2022,"2022",2,"Black",25369,10383,"Census Tract 213.02, Bronx County, NY","14000US36005021302"
2022,"2022",2,"Black",64262,18606,"Census Tract 215.01, Bronx County, NY","14000US36005021501"
2022,"2022",2,"Black",16071,8146.000000000001,"Census Tract 215.02, Bronx County, NY","14000US36005021502"
2022,"2022",2,"Black",62731,15146.000000000002,"Census Tract 216.01, Bronx County, NY","14000US36005021601"
2022,"2022",2,"Black",63553,17311,"Census Tract 216.02, Bronx County, NY","14000US36005021602"
2022,"2022",2,"Black",29390,13745.000000000002,"Census Tract 217, Bronx County, NY","14000US36005021700"
2022,"2022",2,"Black",36250,22648,"Census Tract 218, Bronx County, NY","14000US36005021800"
2022,"2022",2,"Black",45259,28483,"Census Tract 219, Bronx County, NY","14000US36005021900"
2022,"2022",2,"Black",82571,54919,"Census Tract 221.01, Bronx County, NY","14000US36005022101"
2022,"2022",2,"Black",67852,34019,"Census Tract 221.02, Bronx County, NY","14000US36005022102"
2022,"2022",2,"Black",44188,3046,"Census Tract 223, Bronx County, NY","14000US36005022300"
2022,"2022",2,"Black",70795,42675,"Census Tract 224.01, Bronx County, NY","14000US36005022401"
2022,"2022",2,"Black",77361,43770,"Census Tract 224.03, Bronx County, NY","14000US36005022403"
2022,"2022",2,"Black",58333,27109,"Census Tract 224.04, Bronx County, NY","14000US36005022404"
2022,"2022",2,"Black",40281,20291,"Census Tract 225, Bronx County, NY","14000US36005022500"
2022,"2022",2,"Black",35788,16926,"Census Tract 227.01, Bronx County, NY","14000US36005022701"
2022,"2022",2,"Black",78618,5065,"Census Tract 227.03, Bronx County, NY","14000US36005022703"
2022,"2022",2,"Black",86858,40737,"Census Tract 228, Bronx County, NY","14000US36005022800"
