ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2022,"2022",4,"Asian",115128,56724,"Census Tract 2, Bronx County, NY","14000US36005000200"
2022,"2022",4,"Asian",81524,65078,"Census Tract 4, Bronx County, NY","14000US36005000400"
2022,"2022",4,"Asian",33727,616,"Census Tract 31, Bronx County, NY","14000US36005003100"
2022,"2022",4,"Asian",95590,53463,"Census Tract 40.01, Bronx County, NY","14000US36005004001"
2022,"2022",4,"Asian",133472,16976,"Census Tract 50.01, Bronx County, NY","14000US36005005001"
2022,"2022",4,"Asian",93375,23636,"Census Tract 54, Bronx County, NY","14000US36005005400"
2022,"2022",4,"Asian",91875,69660,"Census Tract 68, Bronx County, NY","14000US36005006800"
2022,"2022",4,"Asian",156500,107370,"Census Tract 70, Bronx County, NY","14000US36005007000"
2022,"2022",4,"Asian",38056,30937,"Census Tract 71, Bronx County, NY","14000US36005007100"
2022,"2022",4,"Asian",67083,55410,"Census Tract 72, Bronx County, NY","14000US36005007200"
2022,"2022",4,"Asian",60978,10687,"Census Tract 76, Bronx County, NY","14000US36005007600"
2022,"2022",4,"Asian",57122,17143,"Census Tract 92, Bronx County, NY","14000US36005009200"
2022,"2022",4,"Asian",75833,15450.999999999998,"Census Tract 96, Bronx County, NY","14000US36005009600"
2022,"2022",4,"Asian",77165,33380,"Census Tract 132, Bronx County, NY","14000US36005013200"
2022,"2022",4,"Asian",165750,119591,"Census Tract 138, Bronx County, NY","14000US36005013800"
2022,"2022",4,"Asian",140898,83999,"Census Tract 144, Bronx County, NY","14000US36005014400"
2022,"2022",4,"Asian",16656,4040,"Census Tract 155, Bronx County, NY","14000US36005015500"
2022,"2022",4,"Asian",190481,161310,"Census Tract 158, Bronx County, NY","14000US36005015800"
2022,"2022",4,"Asian",91357,12474,"Census Tract 160, Bronx County, NY","14000US36005016000"
2022,"2022",4,"Asian",53375,52976,"Census Tract 162, Bronx County, NY","14000US36005016200"
2022,"2022",4,"Asian",118333,89965,"Census Tract 184, Bronx County, NY","14000US36005018400"
