ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2022,"2022",8,"White Non-Hispanic",250001,,"Census Tract 4, Bronx County, NY","14000US36005000400"
2022,"2022",8,"White Non-Hispanic",24000,21650,"Census Tract 43, Bronx County, NY","14000US36005004300"
2022,"2022",8,"White Non-Hispanic",79024,10259,"Census Tract 59.02, Bronx County, NY","14000US36005005902"
2022,"2022",8,"White Non-Hispanic",96125,46883,"Census Tract 71, Bronx County, NY","14000US36005007100"
2022,"2022",8,"White Non-Hispanic",164896,70160,"Census Tract 74, Bronx County, NY","14000US36005007400"
2022,"2022",8,"White Non-Hispanic",52308,14225,"Census Tract 92, Bronx County, NY","14000US36005009200"
2022,"2022",8,"White Non-Hispanic",83571,50264,"Census Tract 96, Bronx County, NY","14000US36005009600"
2022,"2022",8,"White Non-Hispanic",95972,31857.000000000004,"Census Tract 118, Bronx County, NY","14000US36005011800"
2022,"2022",8,"White Non-Hispanic",79861,48432,"Census Tract 130, Bronx County, NY","14000US36005013000"
2022,"2022",8,"White Non-Hispanic",32917,31972,"Census Tract 131, Bronx County, NY","14000US36005013100"
2022,"2022",8,"White Non-Hispanic",52404,36580,"Census Tract 132, Bronx County, NY","14000US36005013200"
2022,"2022",8,"White Non-Hispanic",83042,27309,"Census Tract 138, Bronx County, NY","14000US36005013800"
2022,"2022",8,"White Non-Hispanic",71607,36753,"Census Tract 152, Bronx County, NY","14000US36005015200"
2022,"2022",8,"White Non-Hispanic",61250,46784,"Census Tract 158, Bronx County, NY","14000US36005015800"
2022,"2022",8,"White Non-Hispanic",106932,27746,"Census Tract 160, Bronx County, NY","14000US36005016000"
2022,"2022",8,"White Non-Hispanic",103750,33419,"Census Tract 162, Bronx County, NY","14000US36005016200"
2022,"2022",8,"White Non-Hispanic",61786,50809,"Census Tract 164, Bronx County, NY","14000US36005016400"
2022,"2022",8,"White Non-Hispanic",63839,52132,"Census Tract 166, Bronx County, NY","14000US36005016600"
2022,"2022",8,"White Non-Hispanic",128714,36540,"Census Tract 183.01, Bronx County, NY","14000US36005018301"
2022,"2022",8,"White Non-Hispanic",96875,33259,"Census Tract 184, Bronx County, NY","14000US36005018400"
2022,"2022",8,"White Non-Hispanic",95833,93880,"Census Tract 194, Bronx County, NY","14000US36005019400"
