"Name","Monthly Rent"
"Description","The monthly rent (in dollars) agreed to or contracted for, regardless of any furnishings, utilities, fees, meals, or services that may be included.&nbsp;"
"Source Notes","U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B25056 (2009-2020);&nbsp; retrieved from <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a><a href=""http://factfinder2.census.gov/"" target=""_blank""></a>."
"Notes","Percents refer to the percent of all occupied rental units."

Location,Rent Level,TimeFrame,DataFormat,Data,Fips
Riverdale,Under $500,2016,Number,2311,208
Williamsbridge,Under $500,2016,Number,3545,212
Throgs Neck,Under $500,2016,Number,2725,210
Pelham Parkway,Under $500,2016,Number,3706,211
Morrisania,Under $500,2016,Number,7651.33974,203
East Tremont,Under $500,2016,Number,7987.66026,206
Bedford Park,Under $500,2016,Number,4923,207
University Heights,Under $500,2016,Number,8106,205
Concourse/Highbridge,Under $500,2016,Number,8017,204
Unionport/Soundview,Under $500,2016,Number,8801,209
Mott Haven,Under $500,2016,Number,10483.0433,201
Hunts Point,Under $500,2016,Number,5985.9567,202
Washington Heights,Under $500,2016,Number,8358,112
Manhattanville,Under $500,2016,Number,6848,109
Central Harlem,Under $500,2016,Number,11109,110
East Harlem,Under $500,2016,Number,14066,111
Upper East Side,Under $500,2016,Number,3041,108
Upper West Side,Under $500,2016,Number,6423,107
Chelsea/Clinton,Under $500,2016,Number,3886.06614,104
Midtown Business District,Under $500,2016,Number,1944.93386,105
Murray Hill/Stuyvesant,Under $500,2016,Number,2543,106
Lower East Side,Under $500,2016,Number,15163,103
Battery Park/Tribeca,Under $500,2016,Number,924.3986,101
Greenwich Village,Under $500,2016,Number,1364.6014,102
Tottenville,Under $500,2016,Number,367,503
South Beach,Under $500,2016,Number,1618,502
St. George,Under $500,2016,Number,4511,501
Williamsburg/Greenpoint,Under $500,2016,Number,6800,301
Bushwick,Under $500,2016,Number,5931,304
Bedford Stuyvesant,Under $500,2016,Number,8319,303
Fort Greene/Brooklyn Hts,Under $500,2016,Number,5757,302
Park Slope,Under $500,2016,Number,3082,306
Crown Heights North,Under $500,2016,Number,6612,308
Brownsville,Under $500,2016,Number,10619,316
East New York,Under $500,2016,Number,8965,305
Canarsie,Under $500,2016,Number,3017,318
East Flatbush,Under $500,2016,Number,1733,317
Crown Heights South,Under $500,2016,Number,1956,309
Sunset Park,Under $500,2016,Number,2511,307
Bay Ridge,Under $500,2016,Number,1311,310
Borough Park,Under $500,2016,Number,1811,312
Flatbush/Midwood,Under $500,2016,Number,2803,314
Sheepshead Bay,Under $500,2016,Number,3077,315
Bensonhurst,Under $500,2016,Number,2875,311
Coney Island,Under $500,2016,Number,8570,313
Astoria,Under $500,2016,Number,6142,401
Jackson Heights,Under $500,2016,Number,1096,403
Flushing,Under $500,2016,Number,2370,407
Bayside,Under $500,2016,Number,133,411
Queens Village,Under $500,2016,Number,545,413
Fresh Meadows/Briarwood,Under $500,2016,Number,1365,408
Elmhurst/Corona,Under $500,2016,Number,1544,404
Rego Park/Forest Hills,Under $500,2016,Number,892,406
Sunnyside/Woodside,Under $500,2016,Number,706,402
Ridgewood/Glendale,Under $500,2016,Number,957,405
Woodhaven,Under $500,2016,Number,554,409
Jamaica/St. Albans,Under $500,2016,Number,3261,412
Howard Beach,Under $500,2016,Number,440,410
The Rockaways,Under $500,2016,Number,5454,414
Bronx,Under $500,2016,Number,74242,36005
Brooklyn,Under $500,2016,Number,85749,36047
Manhattan,Under $500,2016,Number,75671,36061
Queens,Under $500,2016,Number,25459,36081
Staten Island,Under $500,2016,Number,6496,36085
New York City,Under $500,2016,Number,267617,3651000
Riverdale,Under $500,2016,Percent,0.08239,208
Williamsbridge,Under $500,2016,Percent,0.12054,212
Throgs Neck,Under $500,2016,Percent,0.10622,210
Pelham Parkway,Under $500,2016,Percent,0.12062,211
Morrisania,Under $500,2016,Percent,0.30531,203
East Tremont,Under $500,2016,Percent,0.30531,206
Bedford Park,Under $500,2016,Percent,0.1199,207
University Heights,Under $500,2016,Percent,0.19151,205
Concourse/Highbridge,Under $500,2016,Percent,0.18256,204
Unionport/Soundview,Under $500,2016,Percent,0.17834,209
Mott Haven,Under $500,2016,Percent,0.35807,201
Hunts Point,Under $500,2016,Percent,0.35807,202
Washington Heights,Under $500,2016,Percent,0.1269,112
Manhattanville,Under $500,2016,Percent,0.17695,109
Central Harlem,Under $500,2016,Percent,0.23916,110
East Harlem,Under $500,2016,Percent,0.31922,111
Upper East Side,Under $500,2016,Percent,0.04107,108
Upper West Side,Under $500,2016,Percent,0.10187,107
Chelsea/Clinton,Under $500,2016,Percent,0.09121,104
Midtown Business District,Under $500,2016,Percent,0.09121,105
Murray Hill/Stuyvesant,Under $500,2016,Percent,0.04764,106
Lower East Side,Under $500,2016,Percent,0.24026,103
Battery Park/Tribeca,Under $500,2016,Percent,0.042,101
Greenwich Village,Under $500,2016,Percent,0.042,102
Tottenville,Under $500,2016,Percent,0.03658,503
South Beach,Under $500,2016,Percent,0.12423,502
St. George,Under $500,2016,Percent,0.17293,501
Williamsburg/Greenpoint,Under $500,2016,Percent,0.1308,301
Bushwick,Under $500,2016,Percent,0.15367,304
Bedford Stuyvesant,Under $500,2016,Percent,0.21186,303
Fort Greene/Brooklyn Hts,Under $500,2016,Percent,0.14899,302
Park Slope,Under $500,2016,Percent,0.09874,306
Crown Heights North,Under $500,2016,Percent,0.15719,308
Brownsville,Under $500,2016,Percent,0.29708,316
East New York,Under $500,2016,Percent,0.22601,305
Canarsie,Under $500,2016,Percent,0.10843,318
East Flatbush,Under $500,2016,Percent,0.05502,317
Crown Heights South,Under $500,2016,Percent,0.05743,309
Sunset Park,Under $500,2016,Percent,0.07594,307
Bay Ridge,Under $500,2016,Percent,0.04611,310
Borough Park,Under $500,2016,Percent,0.06088,312
Flatbush/Midwood,Under $500,2016,Percent,0.06517,314
Sheepshead Bay,Under $500,2016,Percent,0.10699,315
Bensonhurst,Under $500,2016,Percent,0.07307,311
Coney Island,Under $500,2016,Percent,0.2798,313
Astoria,Under $500,2016,Percent,0.10461,401
Jackson Heights,Under $500,2016,Percent,0.03087,403
Flushing,Under $500,2016,Percent,0.05541,407
Bayside,Under $500,2016,Percent,0.01095,411
Queens Village,Under $500,2016,Percent,0.03373,413
Fresh Meadows/Briarwood,Under $500,2016,Percent,0.04778,408
Elmhurst/Corona,Under $500,2016,Percent,0.04782,404
Rego Park/Forest Hills,Under $500,2016,Percent,0.0326,406
Sunnyside/Woodside,Under $500,2016,Percent,0.0192,402
Ridgewood/Glendale,Under $500,2016,Percent,0.0277,405
Woodhaven,Under $500,2016,Percent,0.02367,409
Jamaica/St. Albans,Under $500,2016,Percent,0.09122,412
Howard Beach,Under $500,2016,Percent,0.03329,410
The Rockaways,Under $500,2016,Percent,0.21741,414
Bronx,Under $500,2016,Percent,0.19149,36005
Brooklyn,Under $500,2016,Percent,0.13324,36047
Manhattan,Under $500,2016,Percent,0.13344,36061
Queens,Under $500,2016,Percent,0.06029,36081
Staten Island,Under $500,2016,Percent,0.13219,36085
New York City,Under $500,2016,Percent,0.1293,3651000
Riverdale,$500 to $999,2016,Number,7172,208
Williamsbridge,$500 to $999,2016,Number,8012,212
Throgs Neck,$500 to $999,2016,Number,8395,210
Pelham Parkway,$500 to $999,2016,Number,8313,211
Morrisania,$500 to $999,2016,Number,8987.96358,203
East Tremont,$500 to $999,2016,Number,9383.03642,206
Bedford Park,$500 to $999,2016,Number,13397,207
University Heights,$500 to $999,2016,Number,15530,205
Concourse/Highbridge,$500 to $999,2016,Number,17034,204
Unionport/Soundview,$500 to $999,2016,Number,14592,209
Mott Haven,$500 to $999,2016,Number,9767.58148,201
Hunts Point,$500 to $999,2016,Number,5577.41852,202
Washington Heights,$500 to $999,2016,Number,20934,112
Manhattanville,$500 to $999,2016,Number,10010,109
Central Harlem,$500 to $999,2016,Number,15455,110
East Harlem,$500 to $999,2016,Number,12511,111
Upper East Side,$500 to $999,2016,Number,6940,108
Upper West Side,$500 to $999,2016,Number,10865,107
Chelsea/Clinton,$500 to $999,2016,Number,7436.24182,104
Midtown Business District,$500 to $999,2016,Number,3721.75818,105
Murray Hill/Stuyvesant,$500 to $999,2016,Number,3271,106
Lower East Side,$500 to $999,2016,Number,17508,103
Battery Park/Tribeca,$500 to $999,2016,Number,2494.94738,101
Greenwich Village,$500 to $999,2016,Number,3683.05262,102
Tottenville,$500 to $999,2016,Number,3928,503
South Beach,$500 to $999,2016,Number,4172,502
St. George,$500 to $999,2016,Number,8145,501
Williamsburg/Greenpoint,$500 to $999,2016,Number,10948,301
Bushwick,$500 to $999,2016,Number,9365,304
Bedford Stuyvesant,$500 to $999,2016,Number,10629,303
Fort Greene/Brooklyn Hts,$500 to $999,2016,Number,6978,302
Park Slope,$500 to $999,2016,Number,3677,306
Crown Heights North,$500 to $999,2016,Number,12061,308
Brownsville,$500 to $999,2016,Number,11166,316
East New York,$500 to $999,2016,Number,10033,305
Canarsie,$500 to $999,2016,Number,6325,318
East Flatbush,$500 to $999,2016,Number,9125,317
Crown Heights South,$500 to $999,2016,Number,10192,309
Sunset Park,$500 to $999,2016,Number,8013,307
Bay Ridge,$500 to $999,2016,Number,5254,310
Borough Park,$500 to $999,2016,Number,6256,312
Flatbush/Midwood,$500 to $999,2016,Number,10301,314
Sheepshead Bay,$500 to $999,2016,Number,6830,315
Bensonhurst,$500 to $999,2016,Number,9543,311
Coney Island,$500 to $999,2016,Number,8517,313
Astoria,$500 to $999,2016,Number,9578,401
Jackson Heights,$500 to $999,2016,Number,6777,403
Flushing,$500 to $999,2016,Number,8001,407
Bayside,$500 to $999,2016,Number,1454,411
Queens Village,$500 to $999,2016,Number,2807,413
Fresh Meadows/Briarwood,$500 to $999,2016,Number,5614,408
Elmhurst/Corona,$500 to $999,2016,Number,5700,404
Rego Park/Forest Hills,$500 to $999,2016,Number,4640,406
Sunnyside/Woodside,$500 to $999,2016,Number,5289,402
Ridgewood/Glendale,$500 to $999,2016,Number,6977,405
Woodhaven,$500 to $999,2016,Number,3870,409
Jamaica/St. Albans,$500 to $999,2016,Number,9078,412
Howard Beach,$500 to $999,2016,Number,2660,410
The Rockaways,$500 to $999,2016,Number,7037,414
Bronx,$500 to $999,2016,Number,126161,36005
Brooklyn,$500 to $999,2016,Number,155213,36047
Manhattan,$500 to $999,2016,Number,114830,36061
Queens,$500 to $999,2016,Number,79478,36081
Staten Island,$500 to $999,2016,Number,16245,36085
New York City,$500 to $999,2016,Number,491927,3651000
Riverdale,$500 to $999,2016,Percent,0.25569,208
Williamsbridge,$500 to $999,2016,Percent,0.27242,212
Throgs Neck,$500 to $999,2016,Percent,0.32723,210
Pelham Parkway,$500 to $999,2016,Percent,0.27057,211
Morrisania,$500 to $999,2016,Percent,0.35864,203
East Tremont,$500 to $999,2016,Percent,0.35864,206
Bedford Park,$500 to $999,2016,Percent,0.32629,207
University Heights,$500 to $999,2016,Percent,0.36691,205
Concourse/Highbridge,$500 to $999,2016,Percent,0.38789,204
Unionport/Soundview,$500 to $999,2016,Percent,0.29569,209
Mott Haven,$500 to $999,2016,Percent,0.33363,201
Hunts Point,$500 to $999,2016,Percent,0.33363,202
Washington Heights,$500 to $999,2016,Percent,0.31784,112
Manhattanville,$500 to $999,2016,Percent,0.25866,109
Central Harlem,$500 to $999,2016,Percent,0.33272,110
East Harlem,$500 to $999,2016,Percent,0.28393,111
Upper East Side,$500 to $999,2016,Percent,0.09372,108
Upper West Side,$500 to $999,2016,Percent,0.17231,107
Chelsea/Clinton,$500 to $999,2016,Percent,0.17453,104
Midtown Business District,$500 to $999,2016,Percent,0.17453,105
Murray Hill/Stuyvesant,$500 to $999,2016,Percent,0.06128,106
Lower East Side,$500 to $999,2016,Percent,0.27742,103
Battery Park/Tribeca,$500 to $999,2016,Percent,0.11336,101
Greenwich Village,$500 to $999,2016,Percent,0.11336,102
Tottenville,$500 to $999,2016,Percent,0.39147,503
South Beach,$500 to $999,2016,Percent,0.32033,502
St. George,$500 to $999,2016,Percent,0.31225,501
Williamsburg/Greenpoint,$500 to $999,2016,Percent,0.21059,301
Bushwick,$500 to $999,2016,Percent,0.24265,304
Bedford Stuyvesant,$500 to $999,2016,Percent,0.27069,303
Fort Greene/Brooklyn Hts,$500 to $999,2016,Percent,0.18059,302
Park Slope,$500 to $999,2016,Percent,0.1178,306
Crown Heights North,$500 to $999,2016,Percent,0.28672,308
Brownsville,$500 to $999,2016,Percent,0.31239,316
East New York,$500 to $999,2016,Percent,0.25294,305
Canarsie,$500 to $999,2016,Percent,0.22732,318
East Flatbush,$500 to $999,2016,Percent,0.28973,317
Crown Heights South,$500 to $999,2016,Percent,0.29925,309
Sunset Park,$500 to $999,2016,Percent,0.24233,307
Bay Ridge,$500 to $999,2016,Percent,0.1848,310
Borough Park,$500 to $999,2016,Percent,0.21031,312
Flatbush/Midwood,$500 to $999,2016,Percent,0.23951,314
Sheepshead Bay,$500 to $999,2016,Percent,0.23747,315
Bensonhurst,$500 to $999,2016,Percent,0.24253,311
Coney Island,$500 to $999,2016,Percent,0.27807,313
Astoria,$500 to $999,2016,Percent,0.16313,401
Jackson Heights,$500 to $999,2016,Percent,0.19086,403
Flushing,$500 to $999,2016,Percent,0.18707,407
Bayside,$500 to $999,2016,Percent,0.11976,411
Queens Village,$500 to $999,2016,Percent,0.1737,413
Fresh Meadows/Briarwood,$500 to $999,2016,Percent,0.19651,408
Elmhurst/Corona,$500 to $999,2016,Percent,0.17654,404
Rego Park/Forest Hills,$500 to $999,2016,Percent,0.16956,406
Sunnyside/Woodside,$500 to $999,2016,Percent,0.14386,402
Ridgewood/Glendale,$500 to $999,2016,Percent,0.20195,405
Woodhaven,$500 to $999,2016,Percent,0.16531,409
Jamaica/St. Albans,$500 to $999,2016,Percent,0.25393,412
Howard Beach,$500 to $999,2016,Percent,0.20123,410
The Rockaways,$500 to $999,2016,Percent,0.28052,414
Bronx,$500 to $999,2016,Percent,0.3254,36005
Brooklyn,$500 to $999,2016,Percent,0.24118,36047
Manhattan,$500 to $999,2016,Percent,0.20249,36061
Queens,$500 to $999,2016,Percent,0.18821,36081
Staten Island,$500 to $999,2016,Percent,0.33057,36085
New York City,$500 to $999,2016,Percent,0.23767,3651000
Riverdale,"$1,000 to $1,499",2016,Number,12028,208
Williamsbridge,"$1,000 to $1,499",2016,Number,13156,212
Throgs Neck,"$1,000 to $1,499",2016,Number,10999,210
Pelham Parkway,"$1,000 to $1,499",2016,Number,14347,211
Morrisania,"$1,000 to $1,499",2016,Number,6764.33425,203
East Tremont,"$1,000 to $1,499",2016,Number,7061.66575,206
Bedford Park,"$1,000 to $1,499",2016,Number,19534,207
University Heights,"$1,000 to $1,499",2016,Number,15705,205
Concourse/Highbridge,"$1,000 to $1,499",2016,Number,16380,204
Unionport/Soundview,"$1,000 to $1,499",2016,Number,20579,209
